observation_id,source_id,entity_type,entity_id,variable,mean,sd,unit,sex,n,age_summary,measurement_method,value_status,population_compatibility,reference_eligibility,notes
riem_2026_flexor_digitorum_profundus,RIEM_2026,UNIT,flexor_digitorum_profundus,VOLUME_MEAN,102.67,21.81,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_flexor_pollicis_longus,RIEM_2026,UNIT,flexor_pollicis_longus,VOLUME_MEAN,19.40,4.24,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_pronator_quadratus,RIEM_2026,UNIT,pronator_quadratus,VOLUME_MEAN,9.59,2.13,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_latissimus_dorsi,RIEM_2026,UNIT,latissimus_dorsi,VOLUME_MEAN,496.93,115.26,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_erector_spinae_aggregate,RIEM_2026,SOURCE_AGGREGATE,riem_erector_spinae_aggregate,VOLUME_MEAN,552.13,95.12,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,CONTEXT_ONLY_COMPOSITE,Primary-source Table 3 male mean ± SD. Source ROI is composite; do not split without a compatible resolving source.
riem_2026_multifidus,RIEM_2026,UNIT,multifidus,VOLUME_MEAN,222.84,32.90,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_rectus_abdominis,RIEM_2026,UNIT,rectus_abdominis,VOLUME_MEAN,278.53,68.74,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_external_oblique,RIEM_2026,UNIT,external_oblique,VOLUME_MEAN,202.79,34.12,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_quadratus_lumborum,RIEM_2026,UNIT,quadratus_lumborum,VOLUME_MEAN,66.97,11.26,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_psoas_major,RIEM_2026,UNIT,psoas_major,VOLUME_MEAN,302.45,52.07,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_iliacus,RIEM_2026,UNIT,iliacus,VOLUME_MEAN,201.40,31.60,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_gluteus_medius,RIEM_2026,UNIT,gluteus_medius,VOLUME_MEAN,377.48,64.39,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_gluteus_maximus,RIEM_2026,UNIT,gluteus_maximus,VOLUME_MEAN,1017.08,212.65,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_gluteus_minimus,RIEM_2026,UNIT,gluteus_minimus,VOLUME_MEAN,110.24,19.65,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_piriformis,RIEM_2026,UNIT,piriformis,VOLUME_MEAN,42.89,9.20,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_gemelli_aggregate,RIEM_2026,SOURCE_AGGREGATE,riem_gemelli_aggregate,VOLUME_MEAN,19.81,4.82,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,CONTEXT_ONLY_COMPOSITE,Primary-source Table 3 male mean ± SD. Source ROI is composite; do not split without a compatible resolving source.
riem_2026_quadratus_femoris,RIEM_2026,UNIT,quadratus_femoris,VOLUME_MEAN,31.34,7.63,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_rectus_femoris,RIEM_2026,UNIT,rectus_femoris,VOLUME_MEAN,300.16,69.32,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_vastus_lateralis,RIEM_2026,UNIT,vastus_lateralis,VOLUME_MEAN,1070.58,202.07,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_vastus_medialis,RIEM_2026,UNIT,vastus_medialis,VOLUME_MEAN,549.26,117.07,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_vastus_intermedius,RIEM_2026,UNIT,vastus_intermedius,VOLUME_MEAN,293.76,71.82,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_sartorius,RIEM_2026,UNIT,sartorius,VOLUME_MEAN,180.24,35.87,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_adductor_brevis,RIEM_2026,UNIT,adductor_brevis,VOLUME_MEAN,110.43,22.75,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_adductor_magnus,RIEM_2026,UNIT,adductor_magnus,VOLUME_MEAN,663.34,161.95,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_adductor_longus,RIEM_2026,UNIT,adductor_longus,VOLUME_MEAN,191.86,37.43,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_gracilis,RIEM_2026,UNIT,gracilis,VOLUME_MEAN,117.85,31.22,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_semitendinosus,RIEM_2026,UNIT,semitendinosus,VOLUME_MEAN,213.84,50.02,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_semimembranosus,RIEM_2026,UNIT,semimembranosus,VOLUME_MEAN,266.87,55.72,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_biceps_femoris_long,RIEM_2026,SEGMENT,biceps_femoris_long_head,VOLUME_MEAN,225.45,42.86,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_biceps_femoris_short,RIEM_2026,SEGMENT,biceps_femoris_short_head,VOLUME_MEAN,113.77,28.11,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_popliteus,RIEM_2026,UNIT,popliteus,VOLUME_MEAN,21.01,3.60,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_gastro_medial,RIEM_2026,SEGMENT,gastrocnemius_medial_head,VOLUME_MEAN,266.93,56.44,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_gastro_lateral,RIEM_2026,SEGMENT,gastrocnemius_lateral_head,VOLUME_MEAN,157.11,28.14,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
riem_2026_soleus,RIEM_2026,UNIT,soleus,VOLUME_MEAN,463.35,82.97,cm3,MALE,49,32 ± 10 y; range 19–50,3-T T1-Dixon MRI segmentation,MEASURED,ADULT_MALE_EXACT,ELIGIBLE,Primary-source Table 3 male mean ± SD.
