observation_id,source_id,entity_type,entity_id,variable,mean,sd,unit,sex,n,age_summary,measurement_method,value_status,population_compatibility,reference_eligibility,method_context,notes
charles_2019_gracilis_volume_mean,CHARLES_2019,UNIT,gracilis,VOLUME_MEAN,91,32,cm3,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,MEASURED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,T1 MRI segmentation,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_gracilis_muscle_length_mean,CHARLES_2019,UNIT,gracilis,MUSCLE_LENGTH_MEAN,343,28,mm,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,MEASURED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,3D muscle mesh / anatomical T1 MRI,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_gracilis_optimal_fibre_length_mean,CHARLES_2019,UNIT,gracilis,OPTIMAL_FIBRE_LENGTH_MEAN,173,56,mm,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,PUBLISHED_DERIVED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,DTI tract length sarcomere-normalised using Ward et al. sarcomere lengths and 2.7 μm optimum,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_gracilis_pennation_mean,CHARLES_2019,UNIT,gracilis,PENNATION_MEAN,6,2,deg,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,MEASURED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,Five superficial 2D pennation measurements across proximal/middle/distal regions relative to estimated muscle line of action,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_gracilis_pcsa_mean,CHARLES_2019,UNIT,gracilis,PCSA_MEAN,531,104,mm2,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,PUBLISHED_DERIVED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,"Source-native PCSA calculated from muscle volume, optimal fibre length and pennation",Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_semimembranosus_volume_mean,CHARLES_2019,UNIT,semimembranosus,VOLUME_MEAN,244,57,cm3,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,MEASURED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,T1 MRI segmentation,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_semimembranosus_muscle_length_mean,CHARLES_2019,UNIT,semimembranosus,MUSCLE_LENGTH_MEAN,272,29,mm,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,MEASURED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,3D muscle mesh / anatomical T1 MRI,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_semimembranosus_optimal_fibre_length_mean,CHARLES_2019,UNIT,semimembranosus,OPTIMAL_FIBRE_LENGTH_MEAN,158,43,mm,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,PUBLISHED_DERIVED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,DTI tract length sarcomere-normalised using Ward et al. sarcomere lengths and 2.7 μm optimum,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_semimembranosus_pennation_mean,CHARLES_2019,UNIT,semimembranosus,PENNATION_MEAN,12,3,deg,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,MEASURED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,Five superficial 2D pennation measurements across proximal/middle/distal regions relative to estimated muscle line of action,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_semimembranosus_pcsa_mean,CHARLES_2019,UNIT,semimembranosus,PCSA_MEAN,1561,368,mm2,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,PUBLISHED_DERIVED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,"Source-native PCSA calculated from muscle volume, optimal fibre length and pennation",Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_semitendinosus_volume_mean,CHARLES_2019,UNIT,semitendinosus,VOLUME_MEAN,186,55,cm3,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,MEASURED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,T1 MRI segmentation,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_semitendinosus_muscle_length_mean,CHARLES_2019,UNIT,semitendinosus,MUSCLE_LENGTH_MEAN,324,26,mm,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,MEASURED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,3D muscle mesh / anatomical T1 MRI,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_semitendinosus_optimal_fibre_length_mean,CHARLES_2019,UNIT,semitendinosus,OPTIMAL_FIBRE_LENGTH_MEAN,183,45,mm,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,PUBLISHED_DERIVED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,DTI tract length sarcomere-normalised using Ward et al. sarcomere lengths and 2.7 μm optimum,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_semitendinosus_pennation_mean,CHARLES_2019,UNIT,semitendinosus,PENNATION_MEAN,8,2,deg,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,MEASURED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,Five superficial 2D pennation measurements across proximal/middle/distal regions relative to estimated muscle line of action,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_semitendinosus_pcsa_mean,CHARLES_2019,UNIT,semitendinosus,PCSA_MEAN,1073,438,mm2,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,PUBLISHED_DERIVED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,"Source-native PCSA calculated from muscle volume, optimal fibre length and pennation",Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_biceps_femoris_long_head_volume_mean,CHARLES_2019,SEGMENT,biceps_femoris_long_head,VOLUME_MEAN,194,55,cm3,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,MEASURED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,T1 MRI segmentation,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_biceps_femoris_long_head_muscle_length_mean,CHARLES_2019,SEGMENT,biceps_femoris_long_head,MUSCLE_LENGTH_MEAN,261,26,mm,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,MEASURED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,3D muscle mesh / anatomical T1 MRI,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_biceps_femoris_long_head_optimal_fibre_length_mean,CHARLES_2019,SEGMENT,biceps_femoris_long_head,OPTIMAL_FIBRE_LENGTH_MEAN,204,38,mm,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,PUBLISHED_DERIVED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,DTI tract length sarcomere-normalised using Ward et al. sarcomere lengths and 2.7 μm optimum,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_biceps_femoris_long_head_pennation_mean,CHARLES_2019,SEGMENT,biceps_femoris_long_head,PENNATION_MEAN,11,5,deg,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,MEASURED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,Five superficial 2D pennation measurements across proximal/middle/distal regions relative to estimated muscle line of action,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_biceps_femoris_long_head_pcsa_mean,CHARLES_2019,SEGMENT,biceps_femoris_long_head,PCSA_MEAN,998,502,mm2,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,PUBLISHED_DERIVED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,"Source-native PCSA calculated from muscle volume, optimal fibre length and pennation",Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_biceps_femoris_short_head_volume_mean,CHARLES_2019,SEGMENT,biceps_femoris_short_head,VOLUME_MEAN,92,22,cm3,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,MEASURED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,T1 MRI segmentation,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_biceps_femoris_short_head_muscle_length_mean,CHARLES_2019,SEGMENT,biceps_femoris_short_head,MUSCLE_LENGTH_MEAN,279,39,mm,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,MEASURED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,3D muscle mesh / anatomical T1 MRI,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_biceps_femoris_short_head_optimal_fibre_length_mean,CHARLES_2019,SEGMENT,biceps_femoris_short_head,OPTIMAL_FIBRE_LENGTH_MEAN,109,21,mm,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,PUBLISHED_DERIVED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,DTI tract length sarcomere-normalised using Ward et al. sarcomere lengths and 2.7 μm optimum,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_biceps_femoris_short_head_pennation_mean,CHARLES_2019,SEGMENT,biceps_femoris_short_head,PENNATION_MEAN,9,1,deg,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,MEASURED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,Five superficial 2D pennation measurements across proximal/middle/distal regions relative to estimated muscle line of action,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_biceps_femoris_short_head_pcsa_mean,CHARLES_2019,SEGMENT,biceps_femoris_short_head,PCSA_MEAN,849,220,mm2,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,PUBLISHED_DERIVED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,"Source-native PCSA calculated from muscle volume, optimal fibre length and pennation",Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_popliteus_volume_mean,CHARLES_2019,UNIT,popliteus,VOLUME_MEAN,15,5,cm3,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,MEASURED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,T1 MRI segmentation,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_popliteus_muscle_length_mean,CHARLES_2019,UNIT,popliteus,MUSCLE_LENGTH_MEAN,98,22,mm,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,MEASURED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,3D muscle mesh / anatomical T1 MRI,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_popliteus_optimal_fibre_length_mean,CHARLES_2019,UNIT,popliteus,OPTIMAL_FIBRE_LENGTH_MEAN,74,14,mm,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,PUBLISHED_DERIVED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,DTI tract length sarcomere-normalised using Ward et al. sarcomere lengths and 2.7 μm optimum,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_popliteus_pennation_mean,CHARLES_2019,UNIT,popliteus,PENNATION_MEAN,8,1,deg,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,MEASURED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,Five superficial 2D pennation measurements across proximal/middle/distal regions relative to estimated muscle line of action,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_popliteus_pcsa_mean,CHARLES_2019,UNIT,popliteus,PCSA_MEAN,202,76,mm2,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,PUBLISHED_DERIVED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,"Source-native PCSA calculated from muscle volume, optimal fibre length and pennation",Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_sartorius_volume_mean,CHARLES_2019,UNIT,sartorius,VOLUME_MEAN,143,38,cm3,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,MEASURED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,T1 MRI segmentation,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_sartorius_muscle_length_mean,CHARLES_2019,UNIT,sartorius,MUSCLE_LENGTH_MEAN,504,48,mm,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,MEASURED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,3D muscle mesh / anatomical T1 MRI,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_sartorius_optimal_fibre_length_mean,CHARLES_2019,UNIT,sartorius,OPTIMAL_FIBRE_LENGTH_MEAN,408,30,mm,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,PUBLISHED_DERIVED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,DTI tract length sarcomere-normalised using Ward et al. sarcomere lengths and 2.7 μm optimum,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_sartorius_pcsa_mean,CHARLES_2019,UNIT,sartorius,PCSA_MEAN,333,84,mm2,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,PUBLISHED_DERIVED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,"Source-native PCSA calculated from muscle volume, optimal fibre length and pennation",Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_rectus_femoris_volume_mean,CHARLES_2019,UNIT,rectus_femoris,VOLUME_MEAN,249,65,cm3,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,MEASURED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,T1 MRI segmentation,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_rectus_femoris_muscle_length_mean,CHARLES_2019,UNIT,rectus_femoris,MUSCLE_LENGTH_MEAN,323,28,mm,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,MEASURED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,3D muscle mesh / anatomical T1 MRI,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_rectus_femoris_optimal_fibre_length_mean,CHARLES_2019,UNIT,rectus_femoris,OPTIMAL_FIBRE_LENGTH_MEAN,142,43,mm,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,PUBLISHED_DERIVED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,DTI tract length sarcomere-normalised using Ward et al. sarcomere lengths and 2.7 μm optimum,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_rectus_femoris_pennation_mean,CHARLES_2019,UNIT,rectus_femoris,PENNATION_MEAN,8,1,deg,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,MEASURED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,Five superficial 2D pennation measurements across proximal/middle/distal regions relative to estimated muscle line of action,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_rectus_femoris_pcsa_mean,CHARLES_2019,UNIT,rectus_femoris,PCSA_MEAN,1853,591,mm2,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,PUBLISHED_DERIVED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,"Source-native PCSA calculated from muscle volume, optimal fibre length and pennation",Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_vastus_lateralis_volume_mean,CHARLES_2019,UNIT,vastus_lateralis,VOLUME_MEAN,606,151,cm3,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,MEASURED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,T1 MRI segmentation,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_vastus_lateralis_muscle_length_mean,CHARLES_2019,UNIT,vastus_lateralis,MUSCLE_LENGTH_MEAN,335,21,mm,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,MEASURED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,3D muscle mesh / anatomical T1 MRI,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
charles_2019_vastus_lateralis_optimal_fibre_length_mean,CHARLES_2019,UNIT,vastus_lateralis,OPTIMAL_FIBRE_LENGTH_MEAN,196,42,mm,MIXED,"10 (5 male, 5 female)",27.3 ± 3.95 y,3-T MRI + DTI fibre tractography,PUBLISHED_DERIVED,YOUNG_ADULT_MIXED_SEX_CONTEXT,CONTEXT_ONLY_MIXED_SEX,DTI tract length sarcomere-normalised using Ward et al. sarcomere lengths and 2.7 μm optimum,Primary-source Table 3 mean ± SD. Do not promote to adult-male canonical reference without a selection rule.
