unit_id,canonical_name,region,unit_kind,laterality_model,instance_pattern,verification_status,notes
sternothyroid,Sternothyroid,neck,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
thyrohyoid,Thyrohyoid,neck,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
longus_colli,Longus Colli,neck,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
longus_capitis,Longus Capitis,neck,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
rectus_capitis_anterior,Rectus Capitis Anterior,neck,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
rectus_capitis_lateralis,Rectus Capitis Lateralis,neck,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
rectus_capitis_posterior_major,Rectus Capitis Posterior Major,neck,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
rectus_capitis_posterior_minor,Rectus Capitis Posterior Minor,neck,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
obliquus_capitis_superior,Obliquus Capitis Superior,neck,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
obliquus_capitis_inferior,Obliquus Capitis Inferior,neck,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
trapezius,Trapezius,back,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
latissimus_dorsi,Latissimus Dorsi,back,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
levator_scapulae,Levator Scapulae,back,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
rhomboid_major,Rhomboid Major,back,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
rhomboid_minor,Rhomboid Minor,back,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
serratus_posterior_superior,Serratus Posterior Superior,back,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
serratus_posterior_inferior,Serratus Posterior Inferior,back,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
splenius_capitis,Splenius Capitis,back,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
splenius_cervicis,Splenius Cervicis,back,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
iliocostalis_lumborum,Iliocostalis Lumborum,back,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
iliocostalis_thoracis,Iliocostalis Thoracis,back,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
iliocostalis_cervicis,Iliocostalis Cervicis,back,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
longissimus_thoracis,Longissimus Thoracis,back,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
longissimus_cervicis,Longissimus Cervicis,back,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
longissimus_capitis,Longissimus Capitis,back,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
spinalis_thoracis,Spinalis Thoracis,back,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
spinalis_cervicis,Spinalis Cervicis,back,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
spinalis_capitis,Spinalis Capitis,back,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
semispinalis_thoracis,Semispinalis Thoracis,back,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
semispinalis_cervicis,Semispinalis Cervicis,back,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
semispinalis_capitis,Semispinalis Capitis,back,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
multifidus,Multifidus,back,SERIAL_MUSCLE_FAMILY,BILATERAL_SHARED_REFERENCE,vertebral_levels,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
rotatores,Rotatores,back,SERIAL_MUSCLE_FAMILY,BILATERAL_SHARED_REFERENCE,vertebral_levels,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
interspinales,Interspinales,back,SERIAL_MUSCLE_FAMILY,BILATERAL_SHARED_REFERENCE,vertebral_levels,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
intertransversarii,Intertransversarii,back,SERIAL_MUSCLE_FAMILY,BILATERAL_SHARED_REFERENCE,vertebral_levels,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
levatores_costarum,Levatores costarum,back,SERIAL_MUSCLE_FAMILY,BILATERAL_SHARED_REFERENCE,thoracic_levels,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
pectoralis_major,Pectoralis Major,thorax,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
pectoralis_minor,Pectoralis Minor,thorax,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
subclavius,Subclavius,thorax,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
serratus_anterior,Serratus Anterior,thorax,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
external_intercostals,External intercostals,thorax,SERIAL_MUSCLE_FAMILY,BILATERAL_SHARED_REFERENCE,intercostal_spaces,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
internal_intercostals,Internal intercostals,thorax,SERIAL_MUSCLE_FAMILY,BILATERAL_SHARED_REFERENCE,intercostal_spaces,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
innermost_intercostals,Innermost intercostals,thorax,SERIAL_MUSCLE_FAMILY,BILATERAL_SHARED_REFERENCE,intercostal_spaces,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
subcostales,Subcostales,thorax,SERIAL_MUSCLE_FAMILY,BILATERAL_SHARED_REFERENCE,thoracic_levels,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
transversus_thoracis,Transversus Thoracis,thorax,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
diaphragm,Diaphragm,thorax,MUSCLE,MIDLINE_SINGLE_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
rectus_abdominis,Rectus Abdominis,abdomen,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
external_oblique,External abdominal oblique,abdomen,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
internal_oblique,Internal abdominal oblique,abdomen,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
transversus_abdominis,Transversus abdominis,abdomen,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
pyramidalis,Pyramidalis,abdomen,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
quadratus_lumborum,Quadratus Lumborum,abdomen,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
psoas_major,Psoas Major,abdomen,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
psoas_minor,Psoas Minor,abdomen,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
iliacus,Iliacus,abdomen,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
deltoid,Deltoid,shoulder,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
supraspinatus,Supraspinatus,shoulder,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
infraspinatus,Infraspinatus,shoulder,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
teres_minor,Teres Minor,shoulder,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
subscapularis,Subscapularis,shoulder,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
teres_major,Teres Major,shoulder,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
biceps_brachii,Biceps Brachii,upper_arm,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
brachialis,Brachialis,upper_arm,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
coracobrachialis,Coracobrachialis,upper_arm,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
triceps_brachii,Triceps Brachii,upper_arm,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
anconeus,Anconeus,upper_arm,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
pronator_teres,Pronator Teres,forearm,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
flexor_carpi_radialis,Flexor Carpi Radialis,forearm,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
palmaris_longus,Palmaris Longus,forearm,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
flexor_carpi_ulnaris,Flexor Carpi Ulnaris,forearm,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
flexor_digitorum_superficialis,Flexor Digitorum Superficialis,forearm,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
flexor_digitorum_profundus,Flexor Digitorum Profundus,forearm,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
flexor_pollicis_longus,Flexor Pollicis Longus,forearm,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
pronator_quadratus,Pronator Quadratus,forearm,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
brachioradialis,Brachioradialis,forearm,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
extensor_carpi_radialis_longus,Extensor Carpi Radialis Longus,forearm,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
extensor_carpi_radialis_brevis,Extensor Carpi Radialis Brevis,forearm,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
extensor_digitorum,Extensor Digitorum,forearm,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
extensor_digiti_minimi,Extensor Digiti Minimi,forearm,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
extensor_carpi_ulnaris,Extensor Carpi Ulnaris,forearm,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
supinator,Supinator,forearm,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
abductor_pollicis_longus,Abductor Pollicis Longus,forearm,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
extensor_pollicis_brevis,Extensor Pollicis Brevis,forearm,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
extensor_pollicis_longus,Extensor Pollicis Longus,forearm,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
extensor_indicis,Extensor Indicis,forearm,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
puborectalis,Puborectalis,pelvic_floor_perineum,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
pubococcygeus,Pubococcygeus,pelvic_floor_perineum,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
iliococcygeus,Iliococcygeus,pelvic_floor_perineum,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
coccygeus,Coccygeus,pelvic_floor_perineum,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
external_anal_sphincter,External Anal Sphincter,pelvic_floor_perineum,MUSCLE,MIDLINE_SINGLE_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
external_urethral_sphincter,External Urethral Sphincter,pelvic_floor_perineum,MUSCLE,MIDLINE_SINGLE_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
bulbospongiosus,Bulbospongiosus,pelvic_floor_perineum,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
ischiocavernosus,Ischiocavernosus,pelvic_floor_perineum,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
superficial_transverse_perineal,Superficial transverse perineal,pelvic_floor_perineum,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
deep_transverse_perineal,Deep transverse perineal,pelvic_floor_perineum,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
gluteus_maximus,Gluteus Maximus,hip_gluteal,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
gluteus_medius,Gluteus Medius,hip_gluteal,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
gluteus_minimus,Gluteus Minimus,hip_gluteal,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
tensor_fasciae_latae,Tensor fasciae latae,hip_gluteal,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
piriformis,Piriformis,hip_gluteal,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
obturator_internus,Obturator Internus,hip_gluteal,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
obturator_externus,Obturator Externus,hip_gluteal,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
superior_gemellus,Superior Gemellus,hip_gluteal,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
inferior_gemellus,Inferior Gemellus,hip_gluteal,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
quadratus_femoris,Quadratus Femoris,hip_gluteal,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
rectus_femoris,Rectus Femoris,thigh,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
vastus_lateralis,Vastus Lateralis,thigh,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
vastus_medialis,Vastus Medialis,thigh,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
vastus_intermedius,Vastus Intermedius,thigh,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
tensor_vastus_intermedius,Tensor vastus intermedius,thigh,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
sartorius,Sartorius,thigh,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
pectineus,Pectineus,thigh,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
adductor_longus,Adductor Longus,thigh,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
adductor_brevis,Adductor Brevis,thigh,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
adductor_magnus,Adductor Magnus,thigh,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
gracilis,Gracilis,thigh,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
biceps_femoris,Biceps Femoris,thigh,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
semitendinosus,Semitendinosus,thigh,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
semimembranosus,Semimembranosus,thigh,MUSCLE,BILATERAL_SHARED_REFERENCE,,RECONSTRUCTED_V0_1,Reconstructed from surviving Deep Research scope; verify naming/Latin terminology against TA2 before production lock.
